identifier,y_sim,y_exp,smiles,fold
CHEMBL253022,-10.36719,0.01,CCC(=O)NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12,2
CHEMBL252818,-10.44707,0.01,CC(=O)NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12,1
CHEMBL149024,-8.22764,0.04,CC(N)Cc1c2ccoc2c(Br)c2ccoc12,4
CHEMBL83894,-11.09837,0.04,Fc1ccc(cc1)N1CCN(CCCN2c3cccc4cccc(c34)S2(=O)=O)CC1,1
CHEMBL253878,-11.3712,0.04,O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12,1
CHEMBL194455,-10.71577,0.05,CC1CC(=O)Nc2c(CCN3CCN(CC3)c3nsc4ccccc34)cc(Cl)cc12,4
CHEMBL504699,-9.8601,0.06,F[C@@H]1CCNC[C@H]1c1c([nH]c2cc(F)ccc12)-c1ccccc1,3
CHEMBL1084721,-11.79343,0.07,CC(O)c1ccccc1S(=O)(=O)c1ccc(\C=C\c2ccc(F)cc2)cc1,0
CHEMBL708,-10.97506,0.08,Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2ccccc12,1
CHEMBL251834,-10.26404,0.08,O=C(NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12)c1ccno1,4
CHEMBL328595,-8.6435,0.08,CCN(C)CCc1c([nH]c2ccccc12)-c1cccc(F)c1,1
CHEMBL497064,-9.87914,0.09,F[C@@H]1CCNC[C@H]1c1c([nH]c2cc(F)ccc12)C(=O)Nc1ccccc1,0
CHEMBL404000,-10.78225,0.09,NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12,4
CHEMBL1774077,-10.87199,0.09,O=C1CCc2ccc(OCCCCN3CCN(CC3)c3cccc4CCCCc34)nc2N1,2
CHEMBL540982,-8.8131,0.09,CN(C)CCc1sc2ccccc2c1Cc1ccc(F)cc1,3
CHEMBL296512,-10.65323,0.09,Fc1ccc(cc1)-c1[nH]c2cc(F)ccc2c1C1CCCNC1,1
CHEMBL4758966,-10.20311,0.091,CCOc1ccc2Nc3ccc(Cl)cc3N=C(C3=C[C@H](C)N(C)CC3)c2c1,0
CHEMBL4745124,-10.34122,0.094,C[C@H]1C=C(CCN1C)C1=Nc2cc(Cl)ccc2Nc2ccc(C)cc12,3
CHEMBL85,-12.49235,0.099,Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,0
CHEMBL57427,-8.75817,0.1,COc1ccc2[nH]cc(CCNCc3ccc(Br)cc3)c2c1,4
CHEMBL253439,-11.02085,0.1,Clc1ccc(cc1)C(=O)NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12,4
CHEMBL74355,-9.53748,0.1,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,1
CHEMBL497054,-8.79422,0.11,F[C@@H]1CCNC[C@H]1c1c([nH]c2cc(F)ccc12)-c1ccsc1,2
CHEMBL19215,-11.18852,0.113,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]2[C@H]1Cc1cn(C)c3cccc2c13,2
CHEMBL567889,-10.11938,0.12,COC1CCN(CCOc2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2-c2ccnn2C)CC1,2
CHEMBL523245,-10.27454,0.12,F[C@@H]1CCNC[C@H]1c1c([nH]c2cc(F)ccc12)-c1ccc(F)cc1,4
CHEMBL90911,-9.33262,0.13,CCN(C)CCc1c([nH]c2ccccc12)-c1cccc(c1)C(F)(F)F,4
CHEMBL1774063,-9.72459,0.13,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,2
CHEMBL440389,-11.25429,0.13,CC1CC(=O)Nc2c(CCN3CCN(CC3)c3nsc4ccccc34)ccc(C)c12,2
