identifier,y_sim,y_exp,smiles,fold
CHEMBL186890,-8.78781,CHEMBL186890,1.0,4
CHEMBL184510,-8.63941,CHEMBL184510,1.0,4
CHEMBL359794,-8.58024,CHEMBL359794,1.0,1
CHEMBL1984548,-7.97027,CHEMBL1984548,1.259,4
CHEMBL1994669,-8.37453,CHEMBL1994669,1.585,3
CHEMBL298445,-8.18937,CHEMBL298445,2.0,0
CHEMBL187081,-8.46922,CHEMBL187081,2.0,0
CHEMBL364370,-9.07295,CHEMBL364370,2.0,1
CHEMBL213713,-9.77107,CHEMBL213713,2.0,4
CHEMBL186101,-9.32993,CHEMBL186101,3.0,1
CHEMBL384304,-9.16218,CHEMBL384304,3.0,4
CHEMBL1977223,-9.20007,CHEMBL1977223,3.162,0
CHEMBL2064555,-10.52028,CHEMBL2064555,3.4,4
CHEMBL1983315,-10.07837,CHEMBL1983315,3.981,1
CHEMBL213207,-10.06517,CHEMBL213207,3.981,2
CHEMBL359554,-8.11888,CHEMBL359554,5.0,0
CHEMBL1999153,-10.47437,CHEMBL1999153,5.012,4
CHEMBL1964288,-10.51423,CHEMBL1964288,5.012,3
CHEMBL186708,-9.72071,CHEMBL186708,6.0,4
CHEMBL215086,-9.40439,CHEMBL215086,6.0,4
CHEMBL434337,-9.77128,CHEMBL434337,6.0,2
CHEMBL361894,-9.37677,CHEMBL361894,6.0,3
CHEMBL268507,-9.87143,CHEMBL268507,7.0,4
CHEMBL1986855,-10.30723,CHEMBL1986855,7.943,4
CHEMBL1987034,-8.64327,CHEMBL1987034,7.943,2
CHEMBL187750,-9.92269,CHEMBL187750,8.0,2
CHEMBL365229,-9.93432,CHEMBL365229,10.0,1
CHEMBL360206,-9.63919,CHEMBL360206,10.0,4
CHEMBL359999,-8.33352,CHEMBL359999,10.0,1
CHEMBL1998159,-10.48085,CHEMBL1998159,10.0,1
CHEMBL188665,-9.90357,CHEMBL188665,10.0,1
CHEMBL189455,-8.98853,CHEMBL189455,10.0,4
CHEMBL359963,-9.89399,CHEMBL359963,10.0,3
CHEMBL1992220,-9.75666,CHEMBL1992220,10.0,1
CHEMBL1995813,-8.93718,CHEMBL1995813,12.59,2
CHEMBL1990162,-10.3423,CHEMBL1990162,12.59,1
CHEMBL1986943,-9.21727,CHEMBL1986943,12.59,0
CHEMBL1966204,-10.44535,CHEMBL1966204,12.59,1
CHEMBL1991078,-10.63776,CHEMBL1991078,12.59,1
CHEMBL592030,-10.15751,CHEMBL592030,12.59,4
CHEMBL385733,-9.33158,CHEMBL385733,13.0,4
CHEMBL265903,-10.06321,CHEMBL265903,15.0,1
CHEMBL2005509,-9.77906,CHEMBL2005509,15.85,2
CHEMBL302449,-4.20984,CHEMBL302449,15.85,0
CHEMBL1985406,-8.71821,CHEMBL1985406,15.85,0
CHEMBL2002346,-9.82542,CHEMBL2002346,15.85,3
CHEMBL1983111,-10.35803,CHEMBL1983111,15.85,0
CHEMBL1241473,-8.21079,CHEMBL1241473,15.85,0
CHEMBL565459,-10.73009,CHEMBL565459,16.0,4
CHEMBL1987073,-10.33243,CHEMBL1987073,19.95,1
CHEMBL1996980,-9.25506,CHEMBL1996980,19.95,4
CHEMBL1986263,-8.22186,CHEMBL1986263,19.95,2
CHEMBL1969588,-10.64708,CHEMBL1969588,19.95,0
CHEMBL295484,-8.29747,CHEMBL295484,20.0,2
