identifier,y_sim,y_exp,smiles,fold
CHEMBL60309,-7.39659,0.05,C1CC1N1CCC(=CC1)c1ccccc1,3
CHEMBL61924,-4.74829,0.22,C1CC1N1CCC(=CC1)c1ccccc1-c1ccccc1,2
CHEMBL8706,-7.66542,0.3,CN(CCCOc1ccc(Cl)cc1Cl)CC#C,2
CHEMBL58842,-8.26095,0.38,C1CC1N1CCC(=CC1)c1ccc2ccccc2c1,2
CHEMBL62132,-8.61566,0.4,C1CC1N1CCC(=CC1)c1cccc2ccccc12,1
CHEMBL4104691,-4.96788,0.48,COCCn1ncc2cc(ccc12)C(=O)Nc1ccc(Cl)c(Cl)c1,0
CHEMBL59219,-8.73507,0.68,C1CC1N1CCC(=CC1)c1cccc(c1)-c1ccccc1,3
CHEMBL4762228,5.03021,1.0,COc1ccccc1\C(\C=C\c1ccccc1Cl)=N\NC(=O)Cn1c2cc(Cl)ccc2oc1=O,2
CHEMBL4761363,1.43205,1.0,COc1cccc(\C=C\C(=N/NC(=O)Cn2c3ccccc3oc2=O)\c2ccccc2)c1,1
CHEMBL4787184,4.16618,1.0,COc1ccccc1\C=C\C(=N/NC(=O)Cn1c2cc(Cl)ccc2oc1=O)\c1ccccc1,3
CHEMBL4757953,2.66254,1.0,COc1ccc(cc1)\C(\C=C\c1ccccc1Cl)=N\NC(=O)Cn1c2ccccc2oc1=O,2
CHEMBL4748517,6.25975,1.0,COc1ccc(cc1)C1=NN(C(C1)c1ccccc1Cl)C(=O)Cn1c2ccccc2oc1=O,4
CHEMBL4787516,-0.88859,1.0,O=C(Cn1c2ccccc2oc1=O)N\N=C(/C=C/c1ccccc1)\c1ccccc1,3
CHEMBL293004,-4.15109,2.0,COc1ccccc1C1CC(=NN1C(C)=O)c1ccc(O)cc1,4
CHEMBL323025,-9.00565,2.2,[O-][N+](=O)c1ccccc1\C=C\C(=O)c1ccccc1,1
CHEMBL106824,-8.55184,2.5,[O-][N+](=O)c1cccc(\C=C\C(=O)c2ccccc2)c1,3
CHEMBL1645547,-9.32055,3.6,Cc1nccc2c3ccc(OCCCC(F)(F)F)cc3[nH]c12,3
CHEMBL1645545,-8.45394,3.9,CC(C)COc1ccc2c(c1)[nH]c1c(C)nccc21,4
CHEMBL2437020,1.71626,4.0,Cc1ccc(cc1)C1CC(=NN1C(=O)Oc1ccccc1)c1ccccc1O,3
CHEMBL4794193,2.68795,4.0,Cc1ccc(cc1)C1CC(=NN1C(=O)Cn1c2ccccc2oc1=O)c1ccccc1,1
CHEMBL303112,-4.32739,4.0,COc1ccccc1C1CC(=NN1C(C)=O)c1ccc(O)cc1O,4
CHEMBL4764828,3.98517,4.0,COc1ccccc1\C(\C=C\c1ccccc1Cl)=N\NC(=O)Cn1c2ccccc2oc1=O,0
CHEMBL4788778,7.42052,4.0,COc1ccc(cc1)C1=NN(C(C1)c1ccccc1)C(=O)Cn1c2cc(Cl)ccc2oc1=O,0
CHEMBL1645548,-8.24096,4.3,Cc1nccc2c3ccc(OCC4CCCCC4)cc3[nH]c12,2
CHEMBL4169527,-1.37696,4.4,Fc1ccc(-c2csc(N\N=C\c3ccc(cc3)N3CCOCC3)n2)c(F)c1,4
CHEMBL4865301,-9.56718,4.6,FC(F)(F)c1cccc(c1)C(=O)\C=C\c1ccccc1,0
CHEMBL1645544,-7.98218,5.0,Cc1nccc2c3ccc(OCC=C)cc3[nH]c12,4
CHEMBL86304,-8.23633,5.0,Clc1ccc(cc1)C(=O)NCCN1CCOCC1,1
CHEMBL269538,-8.94571,5.0,COc1ccc2c(c1)[nH]c1c(C)nccc21,2
CHEMBL1645550,-8.36587,5.0,Cc1nccc2c3ccc(OCCc4ccccc4)cc3[nH]c12,2
CHEMBL4744188,4.10617,5.0,COc1cccc(c1)C1CC(=NN1C(=O)Cn1c2cc(C)ccc2oc1=O)c1ccccc1,3
CHEMBL4172923,-0.15248,6.6,Fc1ccc(cc1)-c1csc(N\N=C\c2ccc(cc2)N2CCOCC2)n1,3
CHEMBL4740141,3.14083,8.0,COc1cccc(c1)C1CC(=NN1C(=O)Cn1c2ccccc2oc1=O)c1ccccc1,2
CHEMBL4778941,4.90396,8.0,Cc1ccc(cc1)C1CC(=NN1C(=O)Cn1c2cc(C)ccc2oc1=O)c1ccccc1,3
CHEMBL4783604,7.44565,9.0,COc1ccc(cc1OC)C1CC(=NN1C(=O)Cn1c2ccccc2oc1=O)c1ccccc1,2
CHEMBL4763998,13.53484,9.0,COc1ccc(cc1)C1=NN(C(C1)c1cccc(OC)c1OC)C(=O)Cn1c2cc(C)ccc2oc1=O,1
CHEMBL571956,-10.28519,9.2,FC(F)(F)c1ccc(cc1)C(=O)\C=C\c1ccccc1,0
