identifier,y_sim,y_exp,smiles,fold
CHEMBL186890,-8.78781,1.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(Cl)=C(Cl)C([H])=C1[H],3
CHEMBL184510,-8.63941,1.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(F)=C([H])C(F)=C1[H],0
CHEMBL359794,-8.58024,1.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C([H])=C(C#N)C([H])=C1[H],3
CHEMBL1984548,-7.97027,1.259,[H]N([H])C(=O)C1=C(N([H])C2=C(Cl)C([H])=NC(=N2)N([H])C2=C([H])N(N=C2[H])C([H])([H])[H])C([H])=C([H])C([H])=C1[H],2
CHEMBL1994669,-8.37453,1.585,[H]N([H])C(=O)C1=C(N([H])C2=C(Br)C([H])=NC(=N2)N([H])C2=C([H])N(N=C2[H])C([H])([H])[H])C([H])=C([H])C([H])=C1[H],4
CHEMBL298445,-8.18937,2.0,[H]N([H])C1=NC(=C(S1)C1=NC(=NC([H])=C1[H])N([H])C1=C([H])C(=C([H])C([H])=C1[H])[N+]([O-])=O)C([H])([H])[H],4
CHEMBL187081,-8.46922,2.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C([H])=C([H])C(OC([H])([H])[H])=C1[H],0
CHEMBL364370,-9.07295,2.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(F)=C(F)C([H])=C1[H],1
CHEMBL213713,-9.77107,2.0,[H]N([H])C1=C(C([H])=NC(=N1)N([H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])[H])C(=O)C1=C(OC([H])([H])[H])C([H])=C(F)C(F)=C1F,3
CHEMBL186101,-9.32993,3.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(=C([H])C(=C1[H])C([H])([H])[H])C([H])([H])[H],2
CHEMBL384304,-9.16218,3.0,[H]N([H])C1=C(C([H])=NC(=N1)N([H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])[H])C(=O)C1=C(OC([H])([H])[H])C([H])=C([H])C(F)=C1F,1
CHEMBL1977223,-9.20007,3.162,[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1
CHEMBL2064555,-10.52028,3.4,[H]N(C(=O)C1=C([H])C2=C(N([H])N=C2C2=NC3=C([H])C([H])=C([H])C([H])=C3N2[H])C([H])=C1[H])[C@@]([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],0
CHEMBL1983315,-10.07837,3.981,[H]N1N=C(C2=C([H])C(=C([H])C([H])=C12)C1=C(N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C(C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])[H],3
CHEMBL213207,-10.06517,3.981,[H]N(C1=NC(=C([H])C([H])=N1)C1=C([H])N([H])C2=NC([H])=C([H])C([H])=C12)C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],2
